Country,Segment,Date,Snapshot Date,Metric,Value
Singapore,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Singapore,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Singapore,Retail,2022-03,31/03/2022,Default Rate,0.011950093
Singapore,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Singapore,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Singapore,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.000570408
Switzerland,Corporates,2022-03,31/03/2022,Default Rate,0.007856031
Switzerland,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Switzerland,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.000181776
Switzerland,Retail,2022-03,31/03/2022,Default Rate,0.006061149
Switzerland,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.003223871
Switzerland,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.006686758
Switzerland,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.024380427
United States,Corporates,2022-03,31/03/2022,Default Rate,0.005798085
United States,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.015031911
United States,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.006452681
United States,Retail,2022-03,31/03/2022,Default Rate,0.026924161
United States,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.009712046
United States,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.005890359
United States,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.03172525
Austria,Corporates,2021-12,31/12/2021,Default Rate,0.002856367
Austria,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Austria,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.008307631
Austria,Retail,2021-12,31/12/2021,Default Rate,0.005858575
Austria,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.004139789
Austria,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.007007988
Austria,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.009374692
Belgium,Corporates,2021-12,31/12/2021,Default Rate,0.01343574
Belgium,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Belgium,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.014260644
Belgium,Retail,2021-12,31/12/2021,Default Rate,0.00798811
Belgium,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.007093712
Belgium,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.011710886
Belgium,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.011756124
Bulgaria,Corporates,2021-12,31/12/2021,Default Rate,0.034849138
Bulgaria,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Bulgaria,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.060617309
Bulgaria,Retail,2021-12,31/12/2021,Default Rate,0.030766413
Bulgaria,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.026327369
Bulgaria,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.025705559
Bulgaria,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.043403991
Croatia,Corporates,2021-12,31/12/2021,Default Rate,0.00407187
Croatia,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Croatia,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,
Croatia,Retail,2021-12,31/12/2021,Default Rate,0.007164982
Croatia,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.003178663
Croatia,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.017418043
Croatia,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.009474036
Cyprus,Corporates,2021-12,31/12/2021,Default Rate,0.009453629
Cyprus,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
